,hip_left,joints_angle1_ANGLE_HIPCOR_LEFT,knee_left,ankle_left,hip_right,joints_angle1_ANGLE_HIPCOR_RIGHT,knee_right,ankle_right,energy1_energy,footfall1_left,footfall1_right,distance1_distance
7254,-0.512596,-0.000188187,0.8576290000000001,0.032260500000000004,-0.000182781,-0.00011752,0.144725,-0.0489476,1910.08,0,1,6.97655
7255,-0.511338,-0.00018878099999999998,0.8502139999999999,0.0321769,0.00158854,-0.000117071,0.144374,-0.0491555,1910.39,0,1,6.97792
7256,-0.510038,-0.00018935,0.8426959999999999,0.032124,0.00332079,-0.000116631,0.14407899999999998,-0.049355699999999995,1910.71,0,1,6.97928
7257,-0.508696,-0.00018989,0.835074,0.0321028,0.00501376,-0.000116203,0.143842,-0.0495483,1911.03,0,1,6.98065
7258,-0.507312,-0.00019040000000000002,0.827348,0.032110900000000005,0.00666691,-0.000115785,0.14366199999999998,-0.0497339,1911.35,0,1,6.9820199999999994
7259,-0.505885,-0.000190877,0.819517,0.032148,0.00828037,-0.000115381,0.143541,-0.0499124,1911.67,0,1,6.98338
7260,-0.504416,-0.00019132,0.811582,0.0322109,0.0098538,-0.00011498899999999999,0.143477,-0.050084199999999995,1911.99,0,1,6.98475
7261,-0.502904,-0.000191725,0.803542,0.032298099999999996,0.011387600000000001,-0.000114614,0.14347200000000002,-0.0502494,1912.31,0,1,6.98612
7262,-0.5013489999999999,-0.000192093,0.795397,0.0324057,0.0128815,-0.000114254,0.143525,-0.0504081,1912.63,0,1,6.987489999999999
7263,-0.49975,-0.000192418,0.787145,0.0325311,0.014336400000000001,-0.000113912,0.14363599999999999,-0.0505603,1912.95,0,1,6.988860000000001
7264,-0.49810699999999997,-0.000192702,0.778788,0.0326707,0.0157521,-0.00011358700000000001,0.143805,-0.050706,1913.27,0,1,6.99023
7265,-0.49641899999999994,-0.000192942,0.770325,0.032821499999999997,0.0171296,-0.00011328299999999999,0.144031,-0.0508453,1913.59,0,1,6.9916100000000005
7266,-0.49468599999999996,-0.00019313700000000002,0.761756,0.0329806,0.0184692,-0.000112997,0.14431300000000002,-0.050977999999999996,1913.91,0,1,6.99298
7267,-0.492908,-0.000193284,0.75308,0.0331449,0.019771900000000002,-0.000112734,0.144651,-0.0511038,1914.24,0,1,6.99435
7268,-0.491083,-0.000193384,0.744297,0.0333126,0.0210387,-0.000112491,0.145043,-0.051222500000000004,1914.56,0,1,6.99573
7269,-0.489212,-0.00019343599999999998,0.7354069999999999,0.033482099999999994,0.022270599999999998,-0.00011227100000000001,0.14548699999999998,-0.051333500000000004,1914.88,0,1,6.9971
7270,-0.48729300000000003,-0.000193439,0.726409,0.0336527,0.023468799999999998,-0.000112073,0.145983,-0.0514365,1915.21,0,1,6.998480000000001
7271,-0.48532700000000006,-0.00019339099999999998,0.7173039999999999,0.033824099999999996,0.0246348,-0.00011189799999999999,0.146527,-0.0515307,1915.53,0,1,6.999860000000001
7272,-0.483311,-0.00019329299999999998,0.708091,0.0339965,0.025769999999999998,-0.00011174700000000001,0.14712,-0.0516159,1915.86,0,1,7.001239999999999
7273,-0.481246,-0.000193145,0.69877,0.034170599999999995,0.026876099999999997,-0.00011161899999999999,0.147757,-0.051691499999999994,1916.18,0,1,7.002619999999999
7274,-0.47913199999999995,-0.000192945,0.689341,0.034347699999999995,0.027954700000000002,-0.00011151600000000001,0.14843699999999999,-0.0517571,1916.51,0,1,7.004
7275,-0.476966,-0.000192695,0.679804,0.034529500000000005,0.0290075,-0.00011143600000000001,0.14915799999999999,-0.051812300000000006,1916.84,0,1,7.005380000000001
7276,-0.474749,-0.000192395,0.6701590000000001,0.0347177,0.030036200000000002,-0.00011138100000000001,0.149917,-0.0518567,1917.17,0,1,7.006760000000001
7277,-0.47248,-0.00019204400000000002,0.660405,0.0349148,0.031042700000000003,-0.00011135,0.15071199999999998,-0.05189,1917.5,0,1,7.008139999999999
7278,-0.470159,-0.000191642,0.650544,0.0351232,0.0320287,-0.000111344,0.151541,-0.05191180000000001,1917.83,0,1,7.009530000000001
7279,-0.46778400000000003,-0.000191192,0.640575,0.0353456,0.0329961,-0.00011136200000000001,0.152401,-0.051922,1918.16,0,1,7.010910000000001
7280,-0.46535600000000005,-0.000190692,0.630498,0.035584500000000005,0.033946699999999996,-0.000111405,0.15329,-0.051920100000000004,1918.49,0,1,7.0123
7281,-0.46287399999999995,-0.00019014400000000003,0.620314,0.03584280000000001,0.0348821,-0.000111471,0.15420599999999998,-0.051906100000000004,1918.83,0,1,7.0136899999999995
7282,-0.46033599999999997,-0.00018955,0.610024,0.0361227,0.0358041,-0.000111561,0.155147,-0.0518798,1919.16,0,1,7.01508
7283,-0.457744,-0.00018891,0.599626,0.0364267,0.0367144,-0.000111674,0.15611,-0.0518409,1919.5,0,1,7.01647
7284,-0.455096,-0.000188225,0.589123,0.0367565,0.037614499999999995,-0.00011181,0.157093,-0.0517894,1919.84,0,1,7.017860000000001
7285,-0.452392,-0.000187498,0.578515,0.0371139,0.038506099999999994,-0.000111968,0.158095,-0.051725,1920.17,0,1,7.01925
7286,-0.44963100000000006,-0.00018673,0.567802,0.0375005,0.0393907,-0.00011214700000000001,0.159114,-0.0516477,1920.51,0,1,7.020639999999999
7287,-0.44681400000000004,-0.000185922,0.556986,0.0379175,0.040269599999999996,-0.00011234700000000001,0.160147,-0.0515572,1920.85,0,1,7.02204
7288,-0.443941,-0.00018507700000000002,0.546067,0.038366000000000004,0.041144400000000005,-0.00011256700000000001,0.161194,-0.051453399999999996,1921.19,0,1,7.02343
7289,-0.44101,-0.000184197,0.535046,0.0388465,0.0420163,-0.000112805,0.162252,-0.05133630000000001,1921.54,0,1,7.024830000000001
7290,-0.43802299999999994,-0.000183284,0.523925,0.0393596,0.0428866,-0.00011306100000000001,0.16332,-0.051205600000000004,1921.88,0,1,7.02623
7291,-0.434979,-0.000182339,0.512706,0.0399049,0.043756699999999996,-0.000113333,0.16439600000000001,-0.051061300000000004,1922.22,0,1,7.02763
7292,-0.431878,-0.000181365,0.5013890000000001,0.040482199999999996,0.0446277,-0.000113622,0.165479,-0.0509033,1922.56,0,1,7.0290300000000006
7293,-0.42872,-0.000180365,0.489976,0.0410906,0.0455008,-0.000113925,0.166568,-0.050731599999999995,1922.91,0,1,7.03043
7294,-0.42550600000000005,-0.000179339,0.478469,0.0417289,0.0463771,-0.00011424200000000001,0.16766,-0.050546100000000004,1923.25,0,1,7.03183
7295,-0.42223599999999994,-0.000178292,0.46687,0.0423957,0.0472578,-0.00011457200000000001,0.168755,-0.050346800000000004,1923.6,0,1,7.033239999999999
7296,-0.41891000000000006,-0.00017722400000000002,0.45518000000000003,0.043088999999999995,0.0481439,-0.00011491299999999999,0.169852,-0.0501338,1923.95,0,1,7.03464
7297,-0.415529,-0.00017613900000000002,0.443402,0.0438075,0.0490364,-0.000115264,0.170948,-0.04990719999999999,1924.29,0,1,7.03605
7298,-0.41209300000000004,-0.000175038,0.431539,0.04454930000000001,0.0499362,-0.000115625,0.172044,-0.0496671,1924.64,0,1,7.03746
7299,-0.408602,-0.00017392400000000002,0.419591,0.0453124,0.050844099999999996,-0.000115993,0.17313800000000001,-0.04941369999999999,1924.99,0,1,7.038869999999999
7300,-0.405058,-0.00017280000000000003,0.407563,0.0460951,0.0517611,-0.000116369,0.174229,-0.049147199999999995,1925.34,0,1,7.04028
7301,-0.401461,-0.000171667,0.395456,0.046895400000000004,0.0526877,-0.00011675,0.175317,-0.048867900000000006,1925.69,0,1,7.041689999999999
7302,-0.397811,-0.000170528,0.383274,0.047711500000000004,0.0536246,-0.000117136,0.176399,-0.048576,1926.04,0,1,7.04311
7303,-0.39411,-0.000169385,0.37101999999999996,0.0485418,0.0545725,-0.000117525,0.177477,-0.0482717,1926.4,0,1,7.0445199999999994
7304,-0.390359,-0.00016824,0.358696,0.049384199999999996,0.0555318,-0.000117916,0.178549,-0.0479555,1926.75,0,1,7.045939999999999
7305,-0.38655900000000004,-0.000167095,0.346306,0.0502371,0.0565029,-0.000118309,0.179615,-0.0476277,1927.11,0,1,7.04735
7306,-0.382711,-0.000165953,0.333853,0.0510986,0.057486199999999994,-0.000118702,0.180675,-0.0472885,1927.47,0,1,7.048769999999999
7307,-0.378817,-0.00016481599999999998,0.321341,0.051967,0.058481899999999996,-0.000119094,0.181727,-0.0469385,1927.82,0,1,7.05019
7308,-0.37487600000000004,-0.000163685,0.308774,0.052840599999999995,0.05949019999999999,-0.000119485,0.182773,-0.0465779,1928.18,0,1,7.05161
7309,-0.370893,-0.00016256299999999998,0.296156,0.0537177,0.060510900000000006,-0.000119871,0.183811,-0.0462072,1928.54,0,1,7.053039999999999
7310,-0.36686599999999997,-0.00016145,0.28349,0.054596900000000004,0.061544600000000005,-0.00012025600000000001,0.184842,-0.0458267,1928.91,0,1,7.054460000000001
7311,-0.362799,-0.000160351,0.270781,0.055476300000000006,0.0625907,-0.000120634,0.185867,-0.0454369,1929.27,0,1,7.05589
7312,-0.358692,-0.000159265,0.25803200000000004,0.0563547,0.0636493,-0.000121007,0.186885,-0.045038199999999994,1929.64,0,1,7.05731
7313,-0.354549,-0.000158197,0.24524899999999997,0.0572302,0.0647196,-0.000121371,0.187897,-0.044631,1930.0,0,1,7.058739999999999
7314,-0.35036999999999996,-0.00015714399999999998,0.23243699999999998,0.058101599999999996,0.06580180000000001,-0.00012173,0.188902,-0.0442158,1930.37,0,1,7.060169999999999
7315,-0.346159,-0.000156112,0.2196,0.058967099999999995,0.0668949,-0.000122078,0.189903,-0.043793,1930.74,0,1,7.0616
7316,-0.341916,-0.000155098,0.20674299999999998,0.0598255,0.06799880000000001,-0.000122419,0.190898,-0.0433629,1931.11,0,1,7.063039999999999
7317,-0.337645,-0.000154107,0.19387100000000002,0.0606747,0.06911239999999999,-0.00012274899999999999,0.19189,-0.042926099999999995,1931.49,0,1,7.06447
7318,-0.333347,-0.00015313799999999998,0.180989,0.0615137,0.07023539999999999,-0.00012306899999999998,0.192879,-0.0424828,1931.86,0,1,7.0659
7319,-0.329025,-0.000152194,0.168103,0.06234019999999999,0.0713668,-0.000123378,0.193865,-0.042033600000000004,1932.24,0,1,7.06734
