uid,ta_activitybasal,uid,0,maxtime,distance,mean_speed,energy,energy_to_dist,cor_ankle_left,rms_ankle_left,cor_hip_left,rms_hip_left,cor_knee_left,rms_knee_left,cor_ankle_right,rms_ankle_right,cor_hip_right,rms_hip_right,cor_knee_right,rms_knee_right,fit_stable,fit_cor,fit_rms,fit_energy,fit_corhip,fit_corknee,fit_corankle,fit_rmship,fit_rmsknee,fit_rmsankle,gas_activitybasal,hf_bl,deltas,vas_activitybasal,hamham_wf,vasvas_wf,kd,glu_activitybasal,kref,kbodyweight,hamhf_wl,gluglu_wf,tata_wl,ta_bl,solta_wf,sol_activitybasal,gasgas_wf,ham_activitybasal,ham_bl,solsol_wf,hfhf_wl,kp,hf_activitybasal,klean
param20val21,0.212,param20val21,value,20.0,24.1764,1.20882,6219.23,257.2438411012392,0.28968794081458893,1.5272464271502417,0.8348268752690189,2.5609781750953147,0.9714610465823196,1.5020106610362431,0.28634670551907243,1.529337120517533,0.8349631435645929,2.548880448162416,0.9708737586264746,1.5022470429547832,1,69.80265783960112,-11.170699874916531,-25.724384110123918,83.48950094168059,97.1167402604397,28.801732316683072,-5.109858623257731,-3.0042577039910263,-3.056583547667775,,,,,,,,,,,,,,,,,,,,,,,,
param20val10,0.01333333333333333,param20val10,value,20.0,24.9966,1.24983,5488.29,219.56146035860877,0.545521806135607,1.44271956658149,0.8833483116730988,2.022412485226277,0.9616710361961618,1.512250698794553,0.5120563376090699,1.4812555493117274,0.8710431746348044,2.00377888399875,0.9415717234075617,1.7098648674205283,1,78.5868731609384,-10.172282051333326,-21.956146035860876,87.71957431539516,95.16213798018617,52.87890718723385,-4.026191369225026,-3.2221155662150816,-2.9239751158932172,,,,,,,,,,,,,,,,,,,,,,,,
param20val6,0.008,param20val6,value,20.0,25.1055,1.255275,5497.99,218.99543924638027,0.5415773824386747,1.4626554635797138,0.8852448658974009,2.0106043819421586,0.9607661930190767,1.5304628739770663,0.542383088811186,1.4598022094811167,0.871726966443146,2.0247802055515076,0.9499047512875164,1.611141432572249,1,79.19338746495002,-10.099446567103811,-21.899543924638028,87.84859161702734,95.53354721532965,54.198023562493034,-4.035384587493667,-3.1416043065493153,-2.9224576730608307,,,,,,,,,,,,,,,,,,,,,,,,
param20val24,0.30800000000000005,param20val24,value,20.0,25.6469,1.2823449999999998,6115.19,238.43778390370767,0.1842081064076967,1.814357978346287,0.8510939746780232,2.218332995119145,0.9704361431278259,1.5292221213825237,0.11646108590576312,1.8878721321617844,0.8444665210865171,2.2899884352515754,0.9544142496646343,1.6729644935694465,1,65.35133468117434,-11.412738155830763,-23.843778390370765,84.77802478822701,96.242519639623,15.033459615672989,-4.508321430370721,-3.2021866149519704,-3.7022301105080713,,,,,,,,,,,,,,,,,,,,,,,,
param20val12,0.016,param20val12,value,20.0,24.9748,1.24874,5485.35,219.63539247561545,0.5293013309112392,1.4591045962442386,0.8804899079935491,1.9886679447433713,0.956959791238106,1.5741767853835589,0.5117455407893015,1.4726884697756202,0.8701951729440752,1.9869819197974807,0.9418626504557007,1.6938887348333962,1,78.17590657219954,-10.175508450777667,-21.963539247561545,87.53425404688122,94.94112208469035,52.05234358502704,-3.975649864540852,-3.268065520216955,-2.931793066019859,,,,,,,,,,,,,,,,,,,,,,,,
param20val23,0.276,param20val23,value,20.0,24.6867,1.234335,6045.74,244.8986701341208,0.1697394606243515,1.7632757479775993,0.8325246966937512,2.0720166279322436,0.9458861906660274,1.7201604739945342,0.16331591400703713,1.7654681066691966,0.8421841624700925,2.0994727486492826,0.9566469773355956,1.6186969240278422,1,65.17162336328091,-11.0390906292507,-24.48986701341208,83.73544295819218,95.12665840008114,16.65276873156943,-4.171489376581526,-3.3388573980223764,-3.528743854646796,,,,,,,,,,,,,,,,,,,,,,,,
param20val17,0.084,param20val17,value,20.0,24.0399,1.201995,5398.47,224.56291415521696,0.40210127447702404,1.4860481547085778,0.8730669571423759,1.8920028648621225,0.9365127303063339,1.8420773430358601,0.37033042704154634,1.5126153461591705,0.8563801196483024,1.9547569121620398,0.9230040217643639,1.923775941219062,1,72.68992550633244,-10.611276562146834,-22.456291415521697,86.47235383953391,92.9758376035349,38.62158507592852,-3.8467597770241624,-3.765853284254922,-2.9986635008677482,,,,,,,,,,,,,,,,,,,,,,,,
param20val13,0.017333333333333333,param20val13,value,20.0,24.9375,1.246875,5477.79,219.66075187969923,0.5312265823738183,1.4532352320978537,0.8899105387619,1.9966172861949778,0.9607985892567817,1.513896133307116,0.5117863825930914,1.4687807294390745,0.8709764246048448,2.008489261831377,0.9423120339604809,1.6925471732128983,1,78.45017585918195,-10.133565816083298,-21.966075187969924,88.04434816833724,95.15553116086312,52.150648248345476,-4.005106548026355,-3.206443306520014,-2.9220159615369283,,,,,,,,,,,,,,,,,,,,,,,,
param20val5,0.006666666666666665,param20val5,value,20.0,25.1019,1.255095,5494.26,218.87825224385406,0.5478684031340705,1.4584397555969237,0.8841328631488881,2.0083030666655435,0.9621189410106962,1.5096993346597534,0.5340164829154919,1.468317853603092,0.8724103080052656,1.997408586006841,0.9488183867115234,1.6195671728502858,1,79.1560897487656,-10.06173576938244,-21.887825224385406,87.82715855770769,95.54686638611099,54.09424430247811,-4.005711652672384,-3.129266507510039,-2.926757609200016,,,,,,,,,,,,,,,,,,,,,,,,
param20val15,0.02,param20val15,value,20.0,24.8924,1.2446199999999998,5475.42,219.96352300300495,0.5301209046694138,1.4495632064911101,0.8793745598841607,1.9786268534203064,0.9575601260341411,1.5807518567402001,0.5151558602592583,1.4606816998764378,0.8699761987359691,2.029042517290519,0.9460450746319621,1.6628634088846699,1,78.30387873691508,-10.161529542703244,-21.996352300300494,87.46753793100649,95.18026003330516,52.2638382464336,-4.0076693707108255,-3.24361526562487,-2.9102449063675477,,,,,,,,,,,,,,,,,,,,,,,,
param20val1,0.0013333333333333333,param20val1,value,20.0,25.1427,1.2571350000000001,5498.78,218.70284416550328,0.5638699575151742,1.4520550641422507,0.8853788346656257,1.9444558778001486,0.9609594909741527,1.524865858339156,0.5489635467611612,1.4549736220712106,0.8706887808802724,2.0536542404187306,0.9490296087485737,1.5927458972381368,1,79.64817032574935,-10.022750560009634,-21.870284416550327,87.8033807772949,95.49945498613633,55.641675213816775,-3.998110118218879,-3.117611755577293,-2.9070286862134616,,,,,,,,,,,,,,,,,,,,,,,,
