left_gas,left_glu,left_hab,left_had,left_ham,left_hf,left_sol,left_ta,left_vas,right_gas,right_glu,right_hab,right_had,right_ham,right_hf,right_sol,right_ta,right_vas
193.571,59.7795,30,44.9997,267.444,1661.96,245.262,38.3649,0.557324,1723.63,3028.62,30,44.9997,10707.5,0,654.139,178.952,0
163.04,38.8451,30,44.9997,254.526,1945.87,206.124,50.4035,7.51565,1845.49,2284.24,30,44.9997,11209.8,0,610.054,172.599,0
168.369,3.46425,30,44.9997,195.756,2578.35,150.75,69.3781,0,1953.18,1366.8,30,44.9997,10795.8,0,635.55,148.903,0
165.087,0,30,44.9997,144.366,3349.85,90.4193,98.4507,0,1739.6,723.15,30,44.9997,9866.83,0,480.983,189.023,0
126.173,6.42211,30,44.9997,128.155,2405.66,59.5546,120.028,0,1522.83,508.763,30,44.9997,9178.33,0,411.083,214.73,0
65.9719,81.2499,30,44.9997,131.189,1385.94,50.4138,128.469,30.173,1577.75,469.644,30,44.9997,8866.01,0.309227,599.565,155.182,0
18.5044,93.8438,30,44.9997,134.349,664.486,35.5372,138.525,228.742,1423.63,432.382,30,44.9997,8527.93,20.5111,485.615,191.68,0
3.94503,70.0615,30,44.9997,115.418,617.803,17.8709,148.79,289.835,1279.42,330.616,30,44.9997,7661.41,40.8347,382.25,233.078,0
1.51806,33.1017,30,44.9997,82.6981,1024.72,7.39358,159.556,144.727,1424.19,194.395,30,44.9997,6319.47,39.2196,672.013,142.689,0
0,31.658,30,44.9997,67.7649,1214.87,1.77723,169.906,91.2864,1210.05,157.109,30,44.9997,5075.94,31.8903,583.118,169.45,0
0,59.0424,30,44.9997,77.1116,756.415,0,181.47,221.131,886.364,239.62,30,44.9997,4105.65,20.72,422.446,223.867,55.2048
0,109.005,30,44.9997,101.041,310.288,0,197.712,610.891,902.335,310.659,30,44.9997,3309.18,16.4824,783.188,122.743,427.59
0,93.4544,30,44.9997,113.773,208.752,0,231.376,974.568,802.388,288.332,30,44.9997,2584.33,21.4147,848.427,113.148,667.595
0,47.1064,30,44.9997,96.4161,348.795,0,248.861,952.675,590.053,153.134,30,44.9997,1851.95,24.5123,558.539,184.35,628.363
0,31.405,30,44.9997,74.6644,629.662,0,243.359,681.976,627.615,92.4025,30,44.9997,1160.17,31.2321,828.392,118.614,749.659
0,27.1252,30,44.9997,68.5936,848.358,0,231.309,415.093,574.673,107.913,30,44.9997,690.533,23.5231,1064.41,81.3046,1236.7
0,32.9957,30,44.9997,76.7505,928.067,0,234.603,202.551,298.523,189.579,30,44.9997,527.965,16.5992,745.651,142.36,1846.7
0,22.3612,30,44.9997,78.4459,1194.21,0,237.797,62.0517,216.611,196.123,30,44.9997,399.523,16.4915,881.406,114.983,2161.81
