left_gas,left_glu,left_hab,left_had,left_ham,left_hf,left_sol,left_ta,left_vas,right_gas,right_glu,right_hab,right_had,right_ham,right_hf,right_sol,right_ta,right_vas
0.0451495,0.01,0.01,0.01,0.012446,0.966871,0.0376666,0.251883,0.0124724,0.0522428,0.0104198,0.01,0.01,0.0124637,0.896478,0.0317114,0.231181,0.0953502
0.0444626,0.01,0.01,0.01,0.0122121,0.963243,0.0370658,0.253218,0.012236,0.0513528,0.0103796,0.01,0.01,0.0122282,0.882141,0.0312941,0.228209,0.0959263
0.0437622,0.01,0.01,0.01,0.0120006,0.957898,0.0364126,0.254464,0.0120222,0.0504212,0.0103433,0.01,0.01,0.0120151,0.871549,0.0308454,0.22569,0.096162
0.0430575,0.01,0.01,0.01,0.0118093,0.951209,0.0357672,0.255341,0.0118288,0.0494647,0.0103105,0.01,0.01,0.0118224,0.867326,0.0303756,0.223731,0.0961184
0.0423561,0.01,0.01,0.01,0.0116363,0.943487,0.0351753,0.255628,0.011654,0.048497,0.0102808,0.01,0.01,0.0116482,0.865133,0.029893,0.222464,0.0958477
0.041664,0.01,0.01,0.01,0.0114799,0.935001,0.0347172,0.255137,0.0114958,0.0475295,0.010254,0.01,0.01,0.0114906,0.858652,0.0294047,0.221955,0.0953949
0.0409862,0.01,0.01,0.01,0.0113384,0.925972,0.0344686,0.253728,0.0113528,0.0465713,0.0102297,0.01,0.01,0.0113481,0.847508,0.0289163,0.222129,0.0947982
0.0403264,0.01,0.01,0.01,0.0112104,0.916589,0.0343312,0.251393,0.0112234,0.04563,0.0102077,0.01,0.01,0.0112192,0.839367,0.0284325,0.222872,0.09409
0.0396876,0.01,0.01,0.01,0.0110947,0.907007,0.0342378,0.2482,0.0111064,0.0447114,0.0101879,0.01,0.01,0.0111026,0.838015,0.0279572,0.224087,0.0932979
0.0391751,0.01,0.01,0.01,0.01099,0.897354,0.0343179,0.24417,0.0110007,0.04382,0.0101699,0.01,0.01,0.0109972,0.836045,0.0274933,0.225692,0.092445
0.0392693,0.01,0.01,0.01,0.0108953,0.887736,0.0345167,0.239393,0.010905,0.0429593,0.0101536,0.01,0.01,0.0109018,0.823033,0.027043,0.22761,0.0915509
0.040173,0.01,0.01,0.01,0.0108097,0.878239,0.0346474,0.234052,0.0108184,0.0421318,0.010139,0.01,0.01,0.0108156,0.801388,0.0266083,0.229768,0.0906317
0.0425007,0.01,0.01,0.01,0.0107323,0.868931,0.0348255,0.228278,0.0107402,0.0413429,0.0101257,0.01,0.01,0.0107376,0.781459,0.0261902,0.232104,0.0897008
0.0465359,0.01,0.01,0.01,0.0106623,0.859865,0.0351933,0.222174,0.0106694,0.0408418,0.0101137,0.01,0.01,0.0106671,0.767603,0.0257898,0.234566,0.0887695
0.0512802,0.01,0.01,0.01,0.0105989,0.851083,0.0354808,0.215911,0.0106054,0.0409666,0.0101028,0.01,0.01,0.0106033,0.752845,0.0254076,0.237117,0.0878465
0.0565897,0.01,0.01,0.01,0.0105417,0.842617,0.0357466,0.209568,0.0105475,0.0418394,0.010093,0.01,0.01,0.0105456,0.728684,0.0250438,0.239726,0.0869393
0.06297,0.01,0.01,0.01,0.0106947,0.834489,0.0362743,0.203157,0.0104952,0.0434379,0.0100841,0.01,0.01,0.0104934,0.697675,0.0246985,0.242367,0.0860656
0.0697768,0.01,0.01,0.01,0.0112578,0.826713,0.0367472,0.196811,0.0104478,0.0456406,0.010076,0.01,0.01,0.0104463,0.666661,0.0243716,0.245014,0.0852509
0.076774,0.01,0.01,0.01,0.0121493,0.819298,0.0371059,0.190594,0.010405,0.0483121,0.0100688,0.01,0.01,0.0104036,0.638038,0.0240627,0.247646,0.0844974
0.0845903,0.01,0.01,0.01,0.0132996,0.812248,0.0377091,0.184464,0.0103663,0.0513161,0.0100622,0.01,0.01,0.010365,0.609725,0.0237715,0.250239,0.08381
0.0925307,0.01,0.01,0.01,0.0146495,0.805563,0.0383812,0.178492,0.0103312,0.0545211,0.0100562,0.01,0.01,0.0103301,0.57843,0.0234974,0.252766,0.0831907
0.0998058,0.01,0.01,0.01,0.016149,0.799238,0.0389144,0.172748,0.0102996,0.0578194,0.0100509,0.01,0.01,0.0102985,0.541644,0.0232421,0.255194,0.0826288
0.106968,0.01,0.01,0.01,0.0177559,0.793267,0.0397298,0.167154,0.0102709,0.0611558,0.010046,0.01,0.01,0.01027,0.499159,0.0230408,0.257481,0.0821132
0.113711,0.01,0.01,0.01,0.0194349,0.787642,0.0407857,0.161733,0.010245,0.0644756,0.0116631,0.01,0.01,0.0159801,0.452387,0.0229261,0.259593,0.0816386
0.119193,0.01,0.01,0.01,0.0211565,0.782351,0.0416799,0.156581,0.0102216,0.0677259,0.0298732,0.01,0.01,0.0379147,0.410087,0.0229226,0.2615,0.0812027
0.123701,0.01,0.01,0.01,0.0273267,0.772953,0.0427996,0.151615,0.0102004,0.0708675,0.0680293,0.01,0.01,0.079485,0.371831,0.0230489,0.263179,0.0808042
0.127288,0.01,0.01,0.01,0.037912,0.759448,0.0442493,0.146815,0.0101812,0.0738742,0.115748,0.01,0.01,0.13035,0.337234,0.0232892,0.264625,0.0804411
0.129632,0.01,0.01,0.01,0.0484266,0.746293,0.0454839,0.142299,0.0101639,0.0767236,0.15721,0.01,0.01,0.174712,0.305944,0.0235881,0.265853,0.0801114
0.131046,0.01,0.01,0.01,0.0508206,0.741512,0.046745,0.13801,0.0101482,0.0793815,0.180275,0.01,0.01,0.200435,0.277647,0.0238835,0.26689,0.0798135
0.131886,0.01,0.01,0.01,0.0469174,0.747048,0.0484196,0.133857,0.0101341,0.0817819,0.186557,0.01,0.01,0.20914,0.252055,0.0241386,0.267767,0.0795536
0.13179,0.01,0.01,0.01,0.046767,0.744883,0.0499429,0.129959,0.0101212,0.0838536,0.195067,0.01,0.01,0.219862,0.22891,0.0243372,0.268512,0.0793494
0.130845,0.01,0.01,0.01,0.0667737,0.722782,0.0513326,0.126306,0.0101097,0.0855489,0.215277,0.01,0.01,0.242104,0.207978,0.0244728,0.269153,0.079217
0.129382,0.01,0.01,0.01,0.114144,0.673518,0.053155,0.122763,0.0100992,0.0868253,0.250723,0.01,0.01,0.279434,0.189048,0.0245437,0.269768,0.0791479
0.127342,0.0263063,0.01,0.01,0.191596,0.610074,0.0549689,0.11942,0.0100897,0.0876446,0.299442,0.01,0.01,0.329916,0.171928,0.0245571,0.270515,0.0791371
0.124761,0.0768756,0.01,0.01,0.268894,0.552696,0.0564775,0.116335,0.0100811,0.0879946,0.35522,0.01,0.01,0.387354,0.156445,0.0245234,0.271533,0.0792033
0.121833,0.152707,0.01,0.01,0.338801,0.500804,0.0581355,0.113396,0.0100734,0.0878957,0.410631,0.01,0.01,0.444328,0.142442,0.0244518,0.272927,0.0800949
0.118626,0.233724,0.01,0.01,0.402023,0.453875,0.0598899,0.110608,0.0100663,0.0873915,0.458517,0.01,0.01,0.493679,0.129778,0.0243499,0.274764,0.084555
0.115165,0.290296,0.01,0.01,0.4592,0.411432,0.0612963,0.108059,0.01006,0.0865373,0.49308,0.01,0.01,0.529603,0.118325,0.0242245,0.277084,0.0999083
0.111533,0.291002,0.01,0.01,0.510911,0.373048,0.0626361,0.105679,0.0100543,0.0853926,0.510916,0.01,0.01,0.548688,0.107967,0.0240811,0.279903,0.139382
0.107845,0.264133,0.01,0.01,0.504434,0.368604,0.0644973,0.103328,0.0100491,0.0840109,0.514019,0.01,0.01,0.552923,0.0985999,0.0239243,0.283217,0.218884
0.104121,0.239833,0.01,0.01,0.480509,0.382653,0.0666513,0.101047,0.0100444,0.0824345,0.509921,0.01,0.01,0.549843,0.0901282,0.0237582,0.28702,0.293573
0.100379,0.217857,0.01,0.01,0.476909,0.377321,0.0683131,0.0990045,0.0100401,0.0806913,0.50419,0.01,0.01,0.545027,0.0824665,0.0235862,0.291335,0.36112
0.0966571,0.197982,0.01,0.01,0.491956,0.354196,0.0692053,0.0972546,0.0100363,0.0787983,0.494808,0.01,0.01,0.536436,0.0755374,0.0234108,0.296237,0.422209
0.0929873,0.180008,0.01,0.01,0.504327,0.334519,0.0694601,0.0957599,0.0100328,0.076788,0.482544,0.01,0.01,0.524856,0.0692708,0.0232346,0.301823,0.477456
0.0893949,0.163752,0.01,0.01,0.490755,0.341484,0.0691936,0.0944873,0.0100297,0.0747013,0.468051,0.01,0.01,0.510952,0.0636035,0.0230592,0.308185,0.52742
0.0859,0.149051,0.01,0.01,0.444786,0.386867,0.0685053,0.0934076,0.0100269,0.0725724,0.451883,0.01,0.01,0.49529,0.058478,0.0228863,0.315214,0.572607
0.0825179,0.135755,0.01,0.01,0.403213,0.445493,0.0674803,0.0927557,0.0100243,0.0704295,0.434506,0.01,0.01,0.478347,0.0538427,0.0227169,0.322822,0.613474
0.0792598,0.12373,0.01,0.01,0.365615,0.498514,0.0661911,0.092732,0.010022,0.0682957,0.416311,0.01,0.01,0.460523,0.0496505,0.0225522,0.330833,0.650433
0.0761339,0.112856,0.01,0.01,0.331612,0.546465,0.0646991,0.0934939,0.0100199,0.0661898,0.397624,0.01,0.01,0.442153,0.0458592,0.0227746,0.338865,0.683858
0.0731455,0.103021,0.01,0.01,0.30086,0.589831,0.0630563,0.0949319,0.010018,0.0641266,0.378716,0.01,0.01,0.423514,0.0424304,0.023727,0.346529,0.714086
0.0703366,0.0941264,0.01,0.01,0.273048,0.629051,0.0613066,0.0969206,0.0100162,0.062118,0.359807,0.01,0.01,0.404834,0.0393295,0.0252047,0.353647,0.741425
0.0678436,0.0860824,0.01,0.01,0.247896,0.66452,0.0594864,0.099369,0.0100147,0.060173,0.34108,0.01,0.01,0.3863,0.0365251,0.0280289,0.359784,0.766149
0.0658147,0.0788076,0.01,0.01,0.225149,0.696598,0.0576264,0.102266,0.0100133,0.0582983,0.32268,0.01,0.01,0.368061,0.0339888,0.0341052,0.364304,0.78851
0.0644021,0.0722284,0.01,0.01,0.204577,0.725609,0.0557517,0.105636,0.010012,0.0564989,0.304721,0.01,0.01,0.350237,0.031695,0.0448223,0.366734,0.808732
0.0636331,0.0662782,0.01,0.01,0.185972,0.742785,0.053883,0.109544,0.0100109,0.0547778,0.287293,0.01,0.01,0.332921,0.0296206,0.0601454,0.366956,0.827021
0.0632523,0.060897,0.01,0.01,0.169146,0.758185,0.052037,0.11406,0.0100098,0.0531371,0.270465,0.01,0.01,0.316184,0.0277445,0.0794879,0.365012,0.843561
0.0629033,0.0560303,0.01,0.01,0.153929,0.781307,0.0502272,0.119278,0.0100089,0.0515773,0.254285,0.01,0.01,0.300079,0.0260478,0.102636,0.360889,0.858519
0.0624416,0.051629,0.01,0.01,0.140167,0.802218,0.0484641,0.125227,0.010008,0.0500985,0.238787,0.01,0.01,0.284642,0.0245134,0.129743,0.354516,0.872047
0.0619083,0.0476485,0.01,0.01,0.12772,0.81076,0.046756,0.131816,0.0100073,0.0486996,0.223993,0.01,0.01,0.269896,0.0231256,0.160746,0.34589,0.884282
0.0615151,0.0440487,0.01,0.01,0.150687,0.77166,0.0451088,0.13888,0.0100066,0.0473791,0.209914,0.01,0.01,0.255854,0.0218706,0.195002,0.335155,0.895346
0.0616761,0.040793,0.01,0.01,0.170234,0.737522,0.0435271,0.146264,0.0100059,0.0461352,0.19655,0.01,0.01,0.242519,0.0207355,0.231407,0.32257,0.905353
0.062835,0.0378486,0.01,0.01,0.154912,0.762401,0.0420137,0.153836,0.0100054,0.0449654,0.183897,0.01,0.01,0.229887,0.019709,0.268827,0.308411,0.914403
0.0648751,0.0351858,0.01,0.01,0.141056,0.785119,0.0405704,0.161475,0.0100049,0.0438672,0.171944,0.01,0.01,0.217948,0.0187807,0.306365,0.292912,0.922588
0.0675315,0.0327776,0.01,0.01,0.128525,0.805666,0.0392316,0.169061,0.0100044,0.0428377,0.160674,0.01,0.01,0.206687,0.0179411,0.343193,0.276341,0.92999
0.0704019,0.0305996,0.01,0.01,0.117192,0.824248,0.0380683,0.176474,0.010004,0.0419125,0.150068,0.01,0.01,0.196085,0.0171818,0.37843,0.259204,0.936684
0.0731746,0.02863,0.01,0.01,0.106942,0.841053,0.0371576,0.183599,0.0100036,0.0416237,0.140103,0.01,0.01,0.186122,0.0164951,0.411304,0.241932,0.942738
0.0757088,0.0268486,0.01,0.01,0.0976728,0.856251,0.0365768,0.190333,0.0100033,0.0431952,0.130757,0.01,0.01,0.176774,0.015874,0.441187,0.224885,0.948213
0.0779717,0.0252376,0.01,0.01,0.0892897,0.869996,0.0363941,0.196581,0.0100029,0.0481854,0.122003,0.01,0.01,0.168016,0.0153124,0.467466,0.208382,0.953165
0.0800051,0.0237806,0.01,0.01,0.0817082,0.882427,0.0366655,0.202265,0.0100027,0.0580791,0.113815,0.01,0.01,0.159821,0.0148044,0.48979,0.192651,0.957643
