joints_angle1_ANGLE_HIP_LEFT,joints_angle1_ANGLE_HIPCOR_LEFT,joints_angle1_ANGLE_KNEE_LEFT,joints_angle1_ANGLE_ANKLE_LEFT,joints_angle1_ANGLE_HIP_RIGHT,joints_angle1_ANGLE_HIPCOR_RIGHT,joints_angle1_ANGLE_KNEE_RIGHT,joints_angle1_ANGLE_ANKLE_RIGHT,energy1_energy,footfall1_left,footfall1_right,distance1_distance
-0.5124029999999999,-5.807100000000003e-05,0.323703,0.0402917,-0.486177,-0.000123497,1.13649,0.0525272,73.3117,1,0,0.208734
-0.510776,-5.81149e-05,0.32374400000000003,0.0391169,-0.490174,-0.00012372299999999998,1.14151,0.0495105,73.6089,1,0,0.209927
-0.509115,-5.81563e-05,0.323756,0.0379471,-0.494127,-0.000123948,1.1464299999999998,0.046636800000000006,73.9039,1,0,0.21111799999999997
-0.50742,-5.81949e-05,0.323739,0.0367832,-0.4980350000000001,-0.000124172,1.15127,0.043899400000000005,74.1961,1,0,0.21231
-0.5056930000000001,-5.82316e-05,0.323694,0.0356252,-0.501901,-0.000124394,1.156,0.0412929,74.4858,1,0,0.2135
-0.503935,-5.82662e-05,0.323622,0.0344739,-0.505724,-0.000124614,1.16065,0.0388103,74.7728,1,0,0.21469000000000002
-0.5021479999999999,-5.829930000000001e-05,0.323525,0.0333294,-0.509505,-0.000124831,1.1652,0.0364442,75.0575,1,0,0.21588000000000002
-0.500333,-5.83312e-05,0.323402,0.0321923,-0.513247,-0.000125045,1.16966,0.0341868,75.3396,1,0,0.217069
-0.498491,-5.83625e-05,0.323255,0.0310626,-0.516949,-0.000125255,1.17403,0.0320299,75.6193,1,0,0.21825799999999998
-0.496625,-5.83931e-05,0.323085,0.0299409,-0.520613,-0.000125462,1.17831,0.0299651,75.8967,1,0,0.21944699999999998
-0.494735,-5.84235e-05,0.322892,0.0288275,-0.5242399999999999,-0.000125665,1.1825,0.0279861,76.172,1,0,0.220635
-0.492823,-5.84543e-05,0.322678,0.0277224,-0.52783,-0.000125862,1.18659,0.0260876,76.4453,1,0,0.221823
-0.49089,-5.84854e-05,0.322444,0.0266259,-0.531385,-0.000126054,1.19059,0.0242639,76.7168,1,0,0.22301100000000001
-0.488937,-5.85172e-05,0.322189,0.0255381,-0.534906,-0.000126241,1.19451,0.022509900000000003,76.9868,1,0,0.224198
-0.486966,-5.85497e-05,0.321916,0.0244591,-0.5383939999999999,-0.000126423,1.19833,0.0208206,77.2555,1,0,0.225386
-0.484978,-5.85829e-05,0.321624,0.0233889,-0.541849,-0.000126599,1.20207,0.0191915,77.523,1,0,0.226573
-0.4829729999999999,-5.86169e-05,0.321314,0.0223278,-0.545273,-0.000126769,1.20572,0.0176187,77.7893,1,0,0.22776
-0.480954,-5.865140000000001e-05,0.320987,0.0212757,-0.548667,-0.000126935,1.20928,0.016098599999999998,78.0545,1,0,0.228948
-0.47892,-5.86863e-05,0.320643,0.0202326,-0.552031,-0.000127095,1.21275,0.0146285,78.3184,1,0,0.23013499999999998
-0.476872,-5.87216e-05,0.320281,0.0191985,-0.555366,-0.000127249,1.21614,0.013205799999999998,78.5812,1,0,0.231323
