,disc,label,meta_G_GAS,meta_G_SOL,metric_Unnamed: 0,metric_corangles_ankle_l,metric_corangles_ankle_r,metric_corangles_hip_l,metric_corangles_hip_r,metric_corangles_knee_l,metric_corangles_knee_r,metric_energy,metric_maximize_distance,metric_maxtime,metric_minimize_activation,metric_minimize_passive_torques,metric_minimize_periodic_gait,metric_velocity
22,False,23,1.359,3.7359999999999998,0,0.19044208885419067,0.6461917484720386,0.7751831229876283,0.8105601507291103,0.19474041717655352,-0.1272374385722584,0.6467089542434601,9.346085671622301,1515.0,392.4400183766503,88466.36530834803,234.01533964373863,1.2387898144517877
23,True,24,3.0,1.34,0,0.3552506399727706,-0.08196990559767547,0.92295701298108,0.9421942643347876,-0.0016102001593043312,0.7202735184735826,0.6467089542434601,27.227398404987248,4000.0,160.60056616283669,11640.898188350076,21.456616389012357,1.3631891194358443
24,False,25,0.897,2.144,0,0.10799398009903499,0.6461917484720386,0.7751831229876283,0.9167962960778674,0.19474041717655352,0.11927892758403096,0.6467089542434601,8.861484833117967,1463.0,383.03585972231735,61352.779499140895,653.2346256932756,1.2170722108818497
25,True,26,2.718,2.412,0,0.11965225826804644,0.5522791857112866,0.9438951405714616,0.9253684269480345,0.5033325832478696,0.2802838805270209,0.6467089542434601,27.19710570529832,4000.0,158.88334996299525,13670.883085876303,27.910777756186754,1.3616745601793605
26,True,27,2.436,4.0,0,0.13025407306073075,0.5991646914705536,0.943008604375152,0.9168701114687304,0.3295638012935352,0.14703187897221084,0.6467089542434601,26.428316200983037,4000.0,163.0474598720617,15960.30114787455,5.217403710370078,1.3232370068412664
27,False,28,1.359,1.8760000000000001,0,0.3052539779399725,0.3618038222875351,0.9149925049050426,0.9570000509129046,0.5929400974559398,0.6580165549794711,0.6467089542434601,20.674212482803433,2983.0,195.53945774871517,21648.118933138423,47.384695774705314,1.3884802343405793
28,False,29,3.0,0.804,0,0.10799398009903499,0.7179336779413592,0.8984643118449653,0.9167962960778674,0.19474041717655352,-0.1272374385722584,0.6467089542434601,9.464354224641175,2881.0,213.4713594643985,17434.240420643502,96.74591757823453,0.6597307087060971
29,False,30,2.154,0.804,0,0.19044208885419067,0.7195841622543715,0.7751831229876283,0.9167962960778674,0.4310492169726367,0.11927892758403096,0.6467089542434601,8.832810115502397,1485.0,396.51340139577684,57071.430179529314,234.4885645898457,1.1950097384281946
30,False,31,1.205,0.0,0,0.10799398009903499,0.7121225119939141,0.5002148545152381,0.9167962960778674,-0.05271259213026162,0.07701390670942124,0.6467089542434601,10.841113025969612,1823.0,297.0919620829673,43113.56548789493,126.42011642735407,1.1932499943863346
31,True,32,1.59,3.7359999999999998,0,0.1123756637234879,0.5742806733263454,0.9184463704758172,0.9174042694852804,0.26300032139239043,0.19917398477269987,0.6467089542434601,23.696511688968354,4000.0,155.17833777826564,35983.099997321515,36.03729738881072,1.1866536104103635
32,False,33,1.436,1.34,0,0.19044208885419067,0.5670784144584924,0.8984643118449653,0.9167962960778674,0.4310492169726367,0.07701390670942124,0.6467089542434601,10.164350414405042,1613.0,346.03192276339064,61164.480975663,125.60390276419474,1.265454922755504
33,False,34,2.295,1.608,0,-0.06316336410737569,0.5492525423426879,0.9029940175429076,0.8385620845423649,0.705293872540746,0.006602483670395743,0.6467089542434601,22.09211500586536,3174.0,193.60181573101409,20038.28039719626,16.231185976460647,1.394358400776328
34,False,35,1.205,3.7359999999999998,0,0.507108884716983,0.5670784144584924,0.8984643118449653,0.9173833413203648,0.44328869549206174,0.1673733056654803,0.6467089542434601,13.725992191231954,2501.0,227.6662552956681,50198.920403985896,96.38381330577559,1.1005708751067211
35,False,36,1.205,0.268,0,0.10799398009903499,0.5670784144584924,0.8984643118449653,0.9167962960778674,0.4310492169726367,0.11927892758403096,0.6467089542434601,9.713961489799514,1708.0,317.58045363734124,53718.798733876836,92.23845643710932,1.1417525655836285
36,False,37,0.82,3.208,0,0.19044208885419067,0.6461917484720386,0.8984643118449653,0.9167962960778674,0.19474041717655352,-0.1272374385722584,0.6467089542434601,10.765208210696708,1681.0,349.96820758411127,64949.79580746774,130.74692824541287,1.2845369064859409
37,False,38,2.154,1.34,0,-0.1766714694953848,0.5670784144584924,0.7751831229876283,0.8913731534800132,0.671366695531439,-0.1272374385722584,0.6467089542434601,16.116315946983658,2359.0,246.72442580421932,29403.461724430737,92.96406567011988,1.3693365363936791
38,True,39,1.872,1.8760000000000001,0,0.41933149532902014,0.4261695583262627,0.9487608961031776,0.9512016184543478,0.7430441013298209,0.5692547583056538,0.6467089542434601,27.16287332156887,4000.0,148.58490287642957,15863.510628540218,39.036820355339216,1.3599630265695688
39,False,40,0.897,2.68,0,0.19044208885419067,0.556347911245458,0.9415146603671456,0.9220325714160534,0.7065894603824157,0.11927892758403096,0.6467089542434601,20.57781006979181,3012.0,190.7994298678901,27487.360607214003,52.196768963461544,1.3688040131894863
