,disc,label,meta_G_GAS,meta_G_SOL,metric_Unnamed: 0,metric_energy,metric_maximize_distance,metric_maxtime,metric_minimize_activation,metric_minimize_passive_torques,metric_minimize_periodic_gait,metric_velocity
24,False,25,0.897,2.144,0,0.6467089542434601,12.935507590594733,1955.0,287.99961839776296,51524.904080507644,60.204250295498134,1.3267799921707677
25,False,26,11.118,2.412,0,0.6467089542434601,26.805824688033084,3817.0,185.7059645874627,15383.823877561415,28.546397420563807,1.4063061536506531
26,False,27,8.736,10.0,0,0.6467089542434601,8.85775499041407,1751.0,386.1065620420688,54492.15594876712,166.7249120642078,1.016048219676132
27,True,28,1.359,1.8760000000000001,0,0.6467089542434601,28.479979715070986,4000.0,141.94212477500602,15029.005822195124,44.243272555242484,1.4258150536433158
28,False,29,13.5,0.804,0,0.6467089542434601,6.865372560619407,1813.0,346.21221947477693,43754.24598979302,89.44555786001507,0.7614294874774047
29,False,30,6.354,0.804,0,0.6467089542434601,6.790575634958497,1901.0,328.18135373163904,38449.8867161664,75.50793320668612,0.7181660504637607
30,False,31,1.205,0.0,0,0.6467089542434601,9.333948577133613,2775.0,176.80666842201975,20192.32149867452,42.13207398117004,0.6751942182987173
31,False,32,1.59,8.536,0,0.6467089542434601,10.19683873490582,1835.0,344.75001440658684,110551.84950094807,112.97988183287235,1.1152430977178258
32,False,33,1.436,1.34,0,0.6467089542434601,8.023389751634285,1353.0,411.6190240680786,69133.93695350336,674.2842578213074,1.1908903714706216
33,True,34,7.545,1.608,0,0.6467089542434601,29.42933320968231,4000.0,171.3790412476441,9177.335835762518,28.03006626063561,1.4732803551088056
34,False,35,1.205,8.536,0,0.6467089542434601,10.390707017593915,1951.0,313.76370983657444,3679434.2669129916,418.9347712238873,1.0687081564301029
35,False,36,1.205,0.268,0,0.6467089542434601,5.760105685711945,1571.0,329.52417661443206,54772.71109061656,116.3315542562096,0.7382978299455368
36,False,37,0.82,5.6080000000000005,0,0.6467089542434601,7.167082029250457,1795.0,323.9333609235085,178138.02077024913,575.8758014039812,0.8023195102562526
37,True,38,6.354,1.34,0,0.6467089542434601,25.387911887901964,4000.0,164.56597558726696,12961.416372849895,20.359159316734825,1.271219392067955
38,True,39,3.9720000000000004,1.8760000000000001,0,0.6467089542434601,28.80649910982397,4000.0,167.1757215013871,9807.637587290925,22.97587800796415,1.4421402071232905
39,False,40,0.897,2.68,0,0.6467089542434601,9.096267962494162,1469.0,396.8808677137094,77734.97041943038,258.17247271120124,1.2437384443551531
40,False,41,1.436,4.144,0,0.6467089542434601,15.03876238706954,2669.0,232.26331783456448,733363.1585398186,44.18052493313481,1.129665035210761
41,False,42,1.513,1.608,0,0.6467089542434601,14.915085865795946,2207.0,252.02368684597062,32476.431834285137,40.07685358626964,1.3549141934258715
